Word;Description
incessant;:continuing or following without interruption:unceasing
rebuked;:to criticize sharply:reprimand
wallow;:to roll oneself about in a lazy, relaxed, or ungainly manner
wallow;:to roll oneself about in a lazy, relaxed, or ungainly manner
tribute;:something given or contributed voluntarily as due or deserved
intersect;:to pierce or divide by passing through or across:cross
ensuing;:to strive to attain:pursue
witchcraft;:the use of sorcery or magic
enchant;:to influence by or as if by charms and incantation:bewitch
permeates;:to diffuse through or penetrate something
residue;:something that remains after a part is taken, separated, or designated or after the completion of a process:remnant,remainder: such as
retorts;:to pay or hurl back:return
screech;:a high shrill piercing cry usually expressing pain or terror
epithet;:a characterizing word or phrase accompanying or occurring in place of the name of a person or thing
threshold;:theplank, stone, or piece of timber that lies under a door:sill
malice;:desire to cause pain, injury, ordistressto another
concocted;:to prepare by combining raw materials
nefarious;:flagrantlywickedor impious:evil
impervious;:not allowing entrance or passage:impenetrable
tradecraft;:the techniques and procedures of espionage
iterative;:involving repetition: such as
schlock;:of low quality or value
jingoism;:extremechauvinismor nationalism marked especially by a belligerent foreign policy
quarry;:game
grate;:gratingsense 2
contrivances;:a thingcontrived
quest;:a jury of inquest
ardent;:characterized by warmth of feeling typically expressed in eagerzealoussupport or activity
subjugates;:to bring under control and governance as asubject:conquer
masquerading;:a social gathering of persons wearing masks and often fantastic costumes
actualize;:to makeactual:realize
apropos;:being both relevant andopportune
plenitude;:the quality or state of being full:completeness
earnestness;:characterized by orproceedingfrom an intense and serious state of mind
resolutely;:marked by firm determination:resolved
improbable;:unlikely to be true or to occur
presumptuous;:overstepping due bounds (as ofproprietyor courtesy):taking liberties
accomplice;:one associated with another especially in wrongdoing
cohabit;:to live together as or as if a married couple
adamantly;:in anadamantmanner:with great insistence or determination
impair;:to diminish in function, ability, or quality:to weaken or make worse
extrapolate;:to predict by projecting past experience or known data
conspiratorial;:of, relating to, or suggestive of aconspiracy
invalidate;:to makeinvalid
abhor;:to regard with extremerepugnance:to feel hatred or loathing for:loathe
pretentiousness;:characterized bypretension: such as
abdicated;:to renounce a throne, high office, dignity, or function
proponent;:one who argues in favor of something:advocate
delude;:to mislead the mind or judgment of:deceive,trick
rapport;:a friendly, harmonious relationship
contentious;:likely to cause disagreement or argument
Declining;:of or relating to the period during which something is deteriorating or nearing its end
temerity;:unreasonable orfoolhardycontempt of danger or opposition:rashness,recklessness
wantonly;:merciless,inhumane
wantonly;:merciless,inhumane
deign;:tocondescendreluctantly and with a strong sense of the affront to one's superiority that is involved:stoop
ancillary;:subordinate,subsidiary
forethought;:a thinking or planning out in advance:premeditation
preconceived;:to form (an opinion) prior to actual knowledge or experience
denotes;:to serve as an indication of:betoken
censor;:a person who supervises conduct and morals: such as
plaintive;:expressive of suffering or woe:melancholy
substitute;:a person or thing that takes the place or function of another
salient;:moving by leaps or springs:jumping
iniquity;:gross injustice:wickedness
heinous;:hatefully or shockingly evil:abominable
indiscretions;:lack of discretion:imprudence
ineligible;:not eligible: such as
inflated;:distended with air or gas
resolute.;:marked by firm determination:resolved
Prerogative;:an exclusive or special right, power, orprivilege: such as
profess;:to receive formally into a religious community following a novitiate by acceptance of the required vows
rebuttal;:the act ofrebuttingespecially in a legal suit
magnify;:extol,laud
aspire;:to seek to attain or accomplish a particular goal
disdain;:a feeling ofcontemptfor someone or something regarded asunworthyor inferior:scorn
sobering;:tending to make one thoughtful orsober
negate;:to deny the existence or truth of
reclusive;:seeking solitude:retiring from society
arduous;:hard to accomplish orachieve:difficult
denizen;:inhabitant
meticulously;:marked byextremeor excessive care in the consideration or treatment of details
countenance;:look,expression
assuage;:to lessen theintensityof (something that pains or distresses):ease
missive;:a written communication:letter
obfuscations;:to throw into shadow:darken
innuendo;:an oblique allusion:hint,insinuation
conniving;:to pretend ignorance of or fail to take action against something one ought to oppose
nuanced;:havingnuances:having or characterized by subtle and often appealingly complex qualities, aspects, or distinctions (as in character or tone)
ludicrous;:amusing or laughable through obvious absurdity, incongruity, exaggeration, oreccentricity
pathologize;:to view or characterize as medically or psychologically abnormal
conflated;:made up of a combination of different elements
pacify;:toallaythe anger or agitation of:soothe
singlehandedly;:managed or done by one person or with one on a side
sole;:being the only one
melodramatic;:of, relating to, or characteristic ofmelodrama
whim;:a capricious or eccentric and often sudden idea or turn of the mind:fancy
fiendish;:perversely diabolical
instilling;:to impart gradually
huff;:to emit puffs (as of breath or steam)
plausible;:superficially fair, reasonable, or valuable but often deceptively so
hindrance;:the state of being interfered with, held back, or slowed down:the state of beinghindered
mandate;:an authoritative command
commodity;:an economic good: such as
poach;:to cook in simmering liquid
plowed;:an implement used to cut, lift, and turn over soil especially in preparing a seedbed
auspice;:kindly patronage and guidance
duress;:forcible restraint or restriction
expedient;:suitable for achieving a particular end in a givencircumstance
compatibility;:capable of existing together in harmony
nominally;:of, relating to, or being anounor a word or expression taking a nounconstruction
awash;:alternately covered and exposed by waves or tide
confluence;:a coming or flowing together, meeting, or gathering at one point
precipitous;:precipitatesense 2
delineated;:having or forming clear edges or boundaries
impart;:to give, convey, or grant from or as if from a store
indulgence;:the act of indulging in something
fraught;:full of or accompanied by something specified
insulation;:material used in insulating
repudiation;:the act ofrepudiating:the state of beingrepudiated
vie;:to strive for superiority:contend,compete
compliance;:the act or process ofcomplyingto a desire, demand, proposal, or regimen or to coercion
parrot;:any of numerous widely distributed tropical birds (order Psittaciformes and especially family Psittacidae) that are often crested and brightly colored, have a distinctive stout hooked bill and zygodactyl feet, and include some excellent mimics
disengage;:to release from something that engages or involves
retain;:to keep in possession or use
vie;:to strive for superiority:contend,compete
contrast;:to set off incontrast:compare or appraise in respect to differences
impetus;:a driving force:impulse
hostile;:of or relating to an enemy
sanitize;:to reduce or eliminate pathogenic agents (such as bacteria) on the surfaces of (something):to make (something)sanitary(as by cleaning or disinfecting)
vigilance;:the quality or state of beingvigilant
trivial;:of little worth or importance
tout;:to make much of:promote,talk up
solicit;:to make petition to:entreat
redirect;:to change the course or direction of
orderliness;:the quality or state of beingorderly
latent;:present and capable of emerging or developing but not now visible, obvious, active, orsymptomatic
incumbent;:the holder of an office orecclesiasticalbenefice
etiquette;:the conduct or procedure required by good breeding or prescribed by authority to be observed in social or official life
agony;:intense pain of mind or body:anguish,torture
accretion;:the process of growth or enlargement by a gradual buildup: such as
infiltrate;:to enter or become established in gradually or unobtrusively usually for subversive purposes
conceding;:to acknowledge grudgingly or hesitantly
intrinsic;:belonging to theessentialnature orconstitutionof a thing
unraveling;:to disengage or separate the threads of:disentangle
iterations;:version,incarnation
marginalization;:to relegate (seerelegatesense 2) to an unimportant or powerless position within a society or group
overbearing;:tending tooverwhelm:overpowering
frigid;:intensely cold
reignite;:to begin or cause (something) to begin to burn again
consortium;:an agreement, combination, or group (as of companies) formed to undertake an enterprise beyond the resources of any one member
wondrous;:that is to be marveled at:extraordinary
deft;:characterized byfacilityand skill
burgeoning;:growing, expanding, or developing rapidly
infer;:toderiveas a conclusion from facts orpremises
intricacy;:the quality or state of beingintricate
flippant;:lacking proper respect or seriousness
emancipation;:the act or process ofemancipating
evident;:clear to the vision or understanding
revision;:an act ofrevising
remedial;:intended as aremedy
inception;:an act, process, or instance of beginning:commencement
inverse;:opposite in order, nature, or effect
meander;:a winding path or course
impromptu;:made, done, or formed on or as if on the spur of the moment:improvised
irksome;:tending to irk:tedious
contrived;:having an unnatural or false appearance or quality:artificial,labored
visceral;:felt in or as if in the internal organs of the body:deep
cognizant;:knowledgeable of something especially through personal experience
enraptured;:to fill with delight
implicitly;:capable of being understood from something else though unexpressed:implied
reprisal;:a retaliatory act
affront;:to insult especially to the face by behavior or language
presuppose;:to suppose beforehand
immutable;:not capable of or susceptible to change
misconstruing;:to interpret (something, such as a statement or action) wrongly:misinterpret
deviation;:an act or instance ofdeviating: such as
Predictably;:in a manner that can bepredicted
dissuade;:to advise (a person) against something
aversive;:tending to avoid or causing avoidance of anoxiousor punishing stimulus
contingencies;:a contingent event or condition: such as
delineate;:to describe,portray, or set forth with accuracy or indetail
innocuous;:producing no injury:harmless
conflate;:to bring together:blend
libertines;:a freethinker especially in religious matters
mundane;:of, relating to, or characteristic of the world
archetypal;:the original pattern or model of which all things of the same type are representations or copies:prototype
suffocating;:tending or serving tosuffocateor overpower:overwhelming
prefabricated;:to fabricate the parts of at a factory so that construction consists mainly of assembling and uniting standardized parts
recoil;:to fall back under pressure
mailable;:material (such as letters and packages) sent or carried in a postal system
overbear;:to bring down by superior weight or force:overwhelm
broaching;:brooch
fawning;:seeking or used to seek approval or favor by means of flattery
sarging;
grade;:a level of study in an elementary, middle, or secondary school that is completed by a student during one year
adherent;:one whoadheresto something: such as
complacent;:marked by self-satisfaction especially when accompanied by unawareness of actual dangers or deficiencies:marked bycomplacency:self-satisfied
contend;:to strive or vie incontestor rivalry or against difficulties:struggle
constraints;:the act ofconstraining
edification;:an act or process ofedifying
intern;:an advanced student or graduate usually in a professional field (such as medicine or teaching) gaining supervised practical experience (as in a hospital or classroom)
embody;:to give a body to (a spirit):incarnate
convoluted;:havingconvolutions
quandary;:a state ofperplexityor doubt
enigmatic;:of, relating to, or resembling anenigma:mysterious
blaspheme;:to speak in a way that shows irreverence for God or something sacred:to utterblasphemy
amenable;:having or showing willingness to agree or to accept something that is wanted or asked for
erroneously;:containing or characterized byerror:mistaken
tenant;:one who has the occupation or temporary possession of lands or tenements of another
espouse;:marry
affection;:a feeling of liking and caring for someone or something:tender attachment:fondness
predicament;:the character, status, or classification assigned by apredication
countermeasure;:an action or device designed to negate or offset another
infatuation;:a feeling of foolish or obsessively strong love for, admiration for, or interest in someone or something:strong and unreasoning attachment
staunch;:steadfast in loyalty or principle
unequal;:not of the same measurement, quantity, or number as another
appalled;:affected by strong feelings of shock and dismay
unassailable;:not assailable:not liable to doubt, attack, or question
ferociously;:exhibiting or given to extreme fierceness and unrestrained violence and brutality
tenet;:a principle, belief, or doctrine generally held to be true
chauvinist;:an attitude of superiority toward members of the opposite sex
commodity.;:an economic good: such as
anathema;:someone or something intensely disliked or loathed
emancipate;:to free from restraint, control, or the power of another
crumble;:to break into small pieces
grace;:unmerited divine assistance given to humans for their regeneration or sanctification
despise.;:to look down on withdisrespectoraversion
aggrandize;:to make great or greater:increase,enlarge
headlong;:headfirstsense 1
salaciousness;:arousing or appealing to sexual desire or imagination
ragequit;
salaciousness;:arousing or appealing to sexual desire or imagination
privy;:private,withdrawn
workaround;:a plan or method to circumvent a problem (as in computer software) without eliminating it
Empress;:the wife or widow of an emperor
endearing;:arousing feelings of affection or admiration
falter;:to walk unsteadily:stumble
fidelity;:the quality or state of beingfaithful
reciprocity;:the quality or state of being reciprocal:mutualdependence, action, or influence
preemptive;:of or relating topreemption
nonchalantly;:in anonchalantmanner:in a casual way that shows a relaxed lack of concern or interest
apace;:at a quick pace:swiftly
absolve;:to set (someone) free from an obligation or the consequences of guilt
amiable;:friendly, sociable, andcongenial
androgyny;:the quality or state of being neither specifically feminine or masculine:the combination of feminine and masculine characteristics:the quality or state of beingandrogynous
Harbor;:a place of security and comfort:refuge
coincide;:to occupy the same place in space or time
anonymity;:the quality or state of beinganonymous
reciprocation;:a mutual exchange
infallibly;:incapable of error:unerring
crux;:a puzzling or difficult problem:an unsolved question
herbivorous;:feeding on plants
coin;:corner,cornerstone,quoin
codify;:to reduce to a code
apt;:unusually fitted or qualified:ready
juvenile,;:physiologicallyimmatureor undeveloped:young
juvenile;:physiologicallyimmatureor undeveloped:young
inundated;:overwhelm
berate;:to scold or condemn vehemently and at length
petty;:having secondary rank or importance:minor,subordinate
tacitly;:expressed or carried on without words or speech
exploit;:deed,act
subroutine;:a subordinate routine
ostracization;
realm;:kingdomsense 3
reprisal;:a retaliatory act
side;:the right or left part of the wall or trunk of the body
hypocrisy;:a feigning to be what one is not or to believe what one does not:behavior that contradicts what one claims to believe or feel
facade;:the front of a building
duplicity;:contradictory doubleness of thought, speech, or action
acculturate;:to change throughacculturation
predispose;:to dispose in advance
quell;:to thoroughly overwhelm and reduce to submission or passivity
dictate;:to utter words to be transcribed:to givedictation
myriad;:ten thousand
consummate;:extremely skilled andaccomplished
analogous;:similar or comparable to something else either in general or in some specific detail
gravely;:an excavation (seeexcavationsense 2) for burial of a body
indicative;:serving toindicate
feasibly;:capableof being done or carried out
caveat;:a warningenjoiningone from certain acts or practices
maneuver;:a military or naval movement
contrivance;:a thingcontrived
vivacious;:lively in temper, conduct, or spirit:sprightly
proselytizing;:to induce someone to convert to one's faith
congruous;:being in agreement, harmony, orcorrespondence
dissonance;:lack of agreement
impend;:to be about to occur
ambient;:existing or present on all sides:encompassing
Foment;:to promote the growth or development of:rouse,incite
Foment;:to promote the growth or development of:rouse,incite
veiled;:having or wearing a veil or a concealing cover
ambiguity;:the quality or state of beingambiguousespecially in meaning
perfect;:being entirely without fault or defect:flawless
marginalize;:to relegate (seerelegatesense 2) to an unimportant or powerless position within a society or group
Deprivation;:the state of being kept from possessing, enjoying, or using something:the state of being deprived:privation
reciprocate;:to give and take mutually
indiscriminate;:not marked by careful distinction:deficient in discrimination and discernment
refute;:to prove wrong by argument or evidence:show to be false orerroneous
circumvent;:to manage to get around especially by ingenuity orstratagem
sublimate;:sublimesense 1
breadth;:distance from side to side:width
placate;:to soothe ormollifyespecially by concessions:appease
curb;:an edging (as of concrete) built along a street to form part of a gutter
pervades;:to become diffused throughout every part of
exude;:to ooze out
emulate;:to strive to equal orexcel
prospective;:relating to or effective in the future
dexterity;:readiness andgracein physical activity
finesse;:refinement or delicacy of workmanship, structure, or texture
deplorable;:deservingcensureor contempt
affront;:to insult especially to the face by behavior or language
intent;:a usually clearly formulated or plannedintention:aim
reek;:smoke
lasciviousness;:filled with or showing sexual desire:lewd,lustful
precisely;:in aprecisemanner:exactly
revile;:to subject to verbal abuse:vituperate
contextual;:the parts of adiscoursethat surround a word or passage and can throw light on its meaning
despise;:to look down on withdisrespectoraversion
resolute;:marked by firm determination:resolved
indictment;:a formal written statement framed by a prosecuting authority and found by a jury (such as a grand jury) charging a person with an offense
condone;:to regard or treat (something bad orblameworthy) as acceptable, forgivable, or harmless
unencumbered;:free of encumbrance
pervasive;:existing in or spreading through every part of something
encompass;:include,comprehend
averse;:having an active feeling ofrepugnance, dislike, or distaste
tutelage;:instruction especially of an individual
ascribe;:to refer to a supposed cause, source, or author:to say or think that (something) is caused by, comes from, or is associated with a particular person or thing
premise;:apropositionantecedently supposed or proved as a basis of argument or inference
predilection;:an establishedpreferencefor something
flagrantly;:conspicuously offensive
provably;:in a way that can beproved
credibility;:the quality or power of inspiring belief
embodiment;:one thatembodiessomething
relegate;:to send into exile:banish
perpetrator;:to bring about or carry out (something, such as a crime or deception):commit
scoundrel;:a disreputable person:rascal
insult;:to treat with insolence, indignity, or contempt:affront
purported;:reputed,alleged
preferential;:showingpreference
veracity;:conformitywith truth or fact:accuracy
confounding;:to throw (a person) intoconfusionor perplexity
expedite;:to accelerate the process or progress of:speed up
dubious;:unsettled in opinion:doubtful
diverge;:to move or extend in different directions from a common point:draw apart
attenuates;:to lessen the amount, force, magnitude, or value of:weaken
expeditiously;:marked by or acting with prompt efficiency
impede;:to interfere with or slow the progress of
augment;:to make greater, more numerous, larger, or moreintense
substrate;:substratum
prevalent;:generally or widely accepted, practiced, or favored:widespread
rebutting;:to drive or beat back:repel
merit;:a praiseworthy quality:virtue
arbitrarily;:existing or coming about seemingly at random or by chance or as acapriciousand unreasonable act of will
strenuous;:vigorously active:energetic
impeded;:to interfere with or slow the progress of
stunt;:to hinder the normal growth, development, or progress of
polysaccharides;:a carbohydrate that can be decomposed by hydrolysis into two or more molecules of monosaccharides
sedentary;:not migratory:settled
constituent;:a member of aconstituency
comprise;:to be made up of
exploitation;:an act or instance ofexploiting
infer;:toderiveas a conclusion from facts orpremises
scrupulous;:having moralintegrity:acting in strict regard for what is considered right or proper
diligent;:characterized by steady, earnest, andenergeticeffort:painstaking
stutter;:to speak with involuntary disruption or blocking of speech (as by repetition or prolongation of vocal sounds)
Regurgitation;:an act ofregurgitating: such as
stammers;:to make involuntary stops and repetitions in speaking:stutter
furtively;:done in a quiet and secretive way to avoid being noticed:surreptitious
induce;:to move by persuasion or influence
purging;:to clear of guilt
escalate;:to increase in extent, volume, number, amount, intensity, or scope
constipation;:abnormally delayed or infrequent passage of usually dry hardened feces
drowsy,;:ready to fall asleep
incoherence;:the quality or state of beingincoherent
susceptible;:capable of submitting to an action, process, or operation
Cumulative;:increasing bysuccessiveadditions
disturbances;:the act ofdisturbingsomeone or something:the state of being disturbed: such as
concussion;:a stunning, damaging, or shattering effect from a hard blow
degenerative;:of, relating to, involving, or causingdegeneration
lethargy;:abnormal drowsiness
irreconcilable;:impossible to reconcile
predisposition;:to dispose in advance
incentive;:something that incites or has a tendency to incite to determination or action
impulsive;:arising from animpulse
inconclusive;:leading to no conclusion or definite result
inconsistent;:lacking consistency: such as
disparity;:a noticeable and usually significant difference or dissimilarity
compromise;:settlement of differences byarbitrationor by consent reached by mutual concessions
precursor;:one thatprecedesand indicates the approach of another
overlap;:to extend over or past and cover a part of
recurrent;:running or turning back in a direction opposite to a former course
dissociative;:the act or process ofdissociating:the state of being dissociated: such as
bereavement;:the state or fact of beingbereavedordeprivedof something or someone
reaffirm;:toaffirm(something) again especially so as to strengthen or confirm
fluctuate;:to shift back and forth uncertainly
trichotillomania;:an abnormal desire to pull out one's hair
dissipate;:to break up and drive off
prevail;:to gain ascendancy through strength or superiority:triumph
satiety;:the quality or state of being fed or gratified to or beyond capacity:surfeit,fullness
exacerbate;:to make more violent,bitter, or severe
inhibit;:to prohibit from doing something
RUMBLE;:to make a low heavy rolling sound
Hoarding;:the practice of collecting or accumulating something (such as money or food)
sentimental;:marked or governed by feeling, sensibility, or emotional idealism
distorted;:altered from a true, natural, or normal state, shape, or condition
pivotal;:of, relating to, or constituting apivot
fathom;:a unit of length equal to six feet (1.83 meters) used especially for measuring the depth of water
Conceive;:to become pregnant with (young)
inducing;:to move by persuasion or influence
influential;:exerting or possessinginfluence
discord;:lack of agreement or harmony (as between persons, things, or ideas)
turbulent;:exhibiting physicalturbulence
proclivity;:an inclination or predisposition toward something
hubris;:exaggerated pride or self-confidence
indignation;:anger aroused by something unjust, unworthy, or mean
enumerate;:to ascertain the number of:count
directive;:serving or intended to guide, govern, or influence
discourse;:verbalinterchangeof ideas
impulse;:a sudden spontaneous inclination or incitement to some usually unpremeditated action
feign;:to give afalseappearance of:induce as a false impression
courtly;:of a quality befitting thecourt:elegant
thug;:a violent or brutish criminal or bully
pedestalize;
constrain;:to force by imposed stricture, restriction, or limitation
seething;:intensely hot:boiling
reverence;:honor or respect felt or shown:deference
permeate;:to diffuse through or penetrate something
imitate;:to follow as a pattern, model, or example
excruciating;:causing great pain or anguish:agonizing
recurrence;:a new occurrence of something that happened or appeared before:a repeated occurrence
usher;:an officer or servant who has the care of the door of a court, hall, or chamber
inferiority;:of little or less importance, value, ormerit
encumbering;:weigh down,burden
aversion;:a feeling ofrepugnancetoward something with a desire to avoid or turn from it
naiveté;:anaiveremark or action
buffer;:any of various devices or pieces of material for reducing shock or damage due to contact
sift;:to put through a sieve
thusly;:in this manner:thus
deprived;:marked bydeprivationespecially of the necessities of life or of healthful environmental influences
steer;:a male bovine animal and especially a domestic ox (Bos taurus) castrated before sexual maturitycomparestagsense 3
saddled;:a girthed usually padded and leather-covered seat for the rider of an animal (such as a horse)
borne;:transported ortransmittedby
mitigated;:to cause to become less harsh orhostile:mollify
immediacy;:the quality or state of beingimmediate
cuckold;:a man whose wife is unfaithful
feigned;:fictitious
rational;:having reason or understanding
martyrdom;:the suffering of death on account of adherence to a cause and especially to one's religious faith
enact;:to establish by legal and authoritative act
infidelity;:the act or fact of having a romantic or sexual relationship with someone other than one's husband, wife, or partner
intercourse;:physical sexual contact between individuals that involves the genitalia of at least one person
proactively;:in aproactivemanner:in a way that anticipates future problems, needs, or changes
extramarital;:of, relating to, or being sexual intercourse between a married person and someone other than his or her spouse:adulterous
thwart;:to oppose successfully:defeat the hopes or aspirations of
Provision;:the act or process ofproviding
writ;:somethingwritten:writing
pluralistic;:the holding of two or more offices or positions (such as benefices) at the same time
imbue;:endowsense 3
viable;:capable of living
savior;:one that saves from danger or destruction
engender;:beget,procreate
propensity;:an often intense naturalinclinationor preference
comply;:to conform, submit, or adapt (as to a regulation or to another's wishes) as required or requested
invariably;:on every occasion:always
constrained;:to force by imposed stricture, restriction, or limitation
fickle;:marked by lack of steadfastness, constancy, or stability:given toerraticchangeableness
prerogative;:an exclusive or special right, power, orprivilege: such as
facilitate;:to makeeasier:help bring about
counter;:a piece (as of metal or plastic) used in reckoning or in games
nurture;:training,upbringing
substantially;:consisting of or relating tosubstance
convention;:agreement,contract
imperative;:not to be avoided or evaded:necessary
malignant;:tending to produce death ordeterioration
malevolent.;:having, showing, or arising from intense often vicious ill will,spite, or hatred
distort;:to twist (seetwistentry1sense 3b) out of the true meaning or proportion:to alter to give a false or unnatural picture or account
immerse;:to plunge into something that surrounds or covers
hunch;:to push or put (someone or something) in a rough, careless, or hasty manner:thrust,shove
miscarriage;:corrupt or incompetent management
doting;:to exhibit mental decline of or like that of old age:be in one'sdotage
dismissive;:serving todismissor reject someone or something:having or showing a disdainful attitude toward someone or something regarded as unworthy of serious attention
curt;:sparing of words:terse
elicit;:to call forth or draw out (something, such as information or a response)
infect;:to contaminate with a disease-producing substance or agent (such as bacteria)
agitated;:troubled in mind:disturbed and upset
agitate;:to excite and often trouble the mind or feelings of:disturb
reside;:to be inresidenceas the incumbent of a benefice or office
Resonance;:the quality or state of beingresonant
extenuating;:tending to lessen the real or apparent seriousness of something (such as a crime, offense, or fault):providing a partial justification or excuse for something
inquisitive;:given to examination or investigation
intravenous;:situated, performed, or occurring within or entering by way of a vein
intravenously;:situated, performed, or occurring within or entering by way of a vein
readmit;:toadmit(someone) again
affectionate;:feeling or showingaffectionor warm regard:loving
Reputable;:enjoying goodrepute:held in esteem
serendipitous;:obtained or characterized byserendipity
fraternal;:of, relating to, or involving brothers
confine;:something (such as borders or walls) that encloses
wrinkle;:a small ridge or furrow especially when formed on a surface by the shrinking or contraction of a smooth substance:crease
crease;:a line, mark, or ridge made by or as if by folding a pliable substance
conform;:to give the same shape, outline, or contour to:bring into harmony or accord
lodge;:to provide temporary quarters for
render;:to melt down
astute;:having or showing shrewdness and an ability to notice and understand things clearly:mentally sharp or clever
emanate;:to come out from a source
repelled;:to drive back:repulse
refine;:to free (something, such as metal, sugar, or oil) from impurities or unwanted material
retrieve;:to locate and bring in (killed or wounded game)
adjunctive;:something joined or added to another thing but not essentially a part of it
alleviate;:relieve,lessen: such as
contemplate;:to view or consider withcontinuedattention:meditate on
gait;:a manner of walking or moving on foot
infancy;:early childhood
constriction;:an act or product ofconstricting
stemming;:the main trunk of a plant
malfunction;:to function imperfectly or badly:fail to operate normally
exert;:to put forth (strength, effort, etc.)
astounding;:causingastonishmentor amazement
instantaneous;:done, occurring, or acting without any perceptible duration of time
exclaim;:to cry out or speak in strong or sudden emotion
vibrant;:pulsating with life, vigor, or activity
derail;:to cause to run off the rails
wreaking;:bring about,cause
havoc;:wide and general destruction:devastation
misinterpret;:to explain wrongly
interpret;:to explain or tell the meaning of:present in understandable terms
insidious;:having a gradual andcumulativeeffect:subtle
reclaim;:to recall from wrong or improper conduct:reform
recuperate.;:to get back:regain
tumultuous;:marked bytumult:loud, excited, and emotional
articulate;:expressing oneselfreadily, clearly, and effectively
deprive;:to take something away from
emasculating;:to deprive of strength, vigor, or spirit:weaken
vindictive;:disposed to seekrevenge:vengeful
bulimia;:a serious eating disorder that occurs chiefly in females, is characterized by compulsive overeating usually followed by self-induced vomiting or laxative or diuretic abuse, and is often accompanied by guilt and depression
debilitating;:causing serious impairment of strength or ability to function
combust;:burn
